the_geom,Location or Partner,Borough,On Street,From Street,To Street,Type,Open Date,Start Time,End Time,Day Of Week,SegmentID,NHoodName,Length In Miles,Shape Length,Monday_Start,Monday_End,Tuesday_Start,Tuesday_End,Wednesday_Start,Wednesday_End,Thursday_Start,Thursday_End,Friday_Start,Friday_End,Saturday_Start,Saturday_End,Sunday_Start,Sunday_End
"MULTILINESTRING ((-73.9654046069403 40.80085470407187, -73.96521511422982 40.80111115055473), (-73.96571058634312 40.80043707000303, -73.96543604953263 40.80081200994464), (-73.96543604953263 40.80081200994464, -73.9654046069403 40.80085470407187))",Columbus Amsterdam BID,Manhattan,Amsterdam Ave,W 106TH St,W 110th St,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"NA,12:00PM,12:00PM","NA,9:00PM,9:00PM","S,U",294461,Upper West Side,0.0532775890483,281.305670175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:00AM,8:30PM,11:00AM,8:30PM
"MULTILINESTRING ((-73.96521511422982 40.80111115055473, -73.96475930337441 40.80174161306203))",Columbus Amsterdam BID,Manhattan,Amsterdam Ave,W 106TH St,W 110th St,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"NA,12:00PM,12:00PM","NA,9:00PM,9:00PM","S,U",38180,Upper West Side,0.0496368099931,262.082356763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:00AM,8:30PM,11:00AM,8:30PM
"MULTILINESTRING ((-73.96475930337441 40.80174161306203, -73.96430100466057 40.802372649877526))",Columbus Amsterdam BID,Manhattan,Amsterdam Ave,W 106TH St,W 110th St,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"NA,12:00PM,12:00PM","NA,9:00PM,9:00PM","S,U",38233,Upper West Side,0.0497343412941,262.597322033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:00AM,8:30PM,11:00AM,8:30PM
"MULTILINESTRING ((-73.96430100466057 40.802372649877526, -73.9638612629522 40.80297203789988))",Columbus Amsterdam BID,Manhattan,Amsterdam Ave,W 106TH St,W 110th St,Open Streets: Restaurants,07/31/2020 12:00:00 AM,"NA,12:00PM,12:00PM","NA,9:00PM,9:00PM","S,U",38235,Morningside Heights,0.0473525145302,250.02127672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11:00AM,8:30PM,11:00AM,8:30PM
"MULTILINESTRING ((-74.01236365251413 40.63624213512162, -74.01016057331782 40.63491233834672))",99 Favor Taste,Brooklyn,61st St,7th Ave,8th Ave,Open Streets: Restaurants,08/14/2020 12:00:00 AM,"5:00PM,5:00PM,5:00PM","11:00PM,11:00PM,11:00PM",FSU,20577,Sunset Park,0.14775244308,780.132899463,NA,NA,NA,NA,NA,NA,NA,NA,5:00PM,11:00PM,5:00PM,11:00PM,5:00PM,11:00PM
"MULTILINESTRING ((-74.00274412908973 40.70721613090281, -74.0016995238355 40.70774747612896), (-74.0016995238355 40.70774747612896, -74.00158105396316 40.707807504426725))",Hopkins and Hawley,Manhattan,Front St,Peck Slip,Beekman St,Open Streets: Restaurants,08/14/2020 12:00:00 AM,"NA,NA,NA,4:00PM,4:00PM,12:00PM,12:00PM","NA,NA,NA,11:00PM,11:00PM,11:00PM,11:00PM",RFSU,23462,South Street Seaport,0.0734503730372,387.817969636,NA,NA,NA,NA,NA,NA,4:00PM,11:00PM,4:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM
"MULTILINESTRING ((-73.98859130742032 40.74603641868459, -73.98845268056473 40.7467885707363))",Casa Nomad restaurant and Akin Hospitality Group,Manhattan,Broadway,W 29th St,W 31st St,Open Streets: Restaurants,08/14/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM",ALL,33903,Midtown,0.0524075984381,276.712119753,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,10:00PM,11:00PM
"MULTILINESTRING ((-73.98845268056473 40.7467885707363, -73.98830534868789 40.747535517064776))",Casa Nomad restaurant and Akin Hospitality Group,Manhattan,Broadway,W 29th St,W 31st St,Open Streets: Restaurants,08/14/2020 12:00:00 AM,"5:00PM,12:00PM,12:00PM","11:00PM,11:00PM,11:00PM",ALL,33905,Midtown,0.0521176969203,275.181439739,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,10:00PM,11:00PM
"MULTILINESTRING ((-73.99470513936666 40.721308533703166, -73.99546478534154 40.72161970154941))",Mari Makan LLC,Manhattan,Spring St,Mott St,Elizabeth St,Open Streets: Restaurants,08/14/2020 12:00:00 AM,"12:00PM,12:00PM,12:00PM,12:00PM,12:00PM,12:00PM,10:00AM","11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM,11:00PM",ALL,32528,Little Italy,0.0452928621994,239.146312413,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,12:00PM,11:00PM,10:00AM,11:00PM
"MULTILINESTRING ((-73.9461313105096 40.803877357478186, -73.94772447989318 40.804549295777555), (-73.94772447989318 40.804549295777555, -73.94781298723584 40.80458662572017))",120 Marcus Meets Malcolm,Manhattan,W 120th St,Malcolm X Blvd,Mt Morris Park W,Open Streets: Restaurants,08/14/2020 12:00:00 AM,"8:00AM,8:00AM,8:00AM","8:00PM,8:00PM,8:00PM",FSU,166536,Harlem,0.100847552867,532.475079138,NA,NA,NA,NA,NA,NA,NA,NA,8:00AM,8:00PM,8:00AM,8:00PM,8:00AM,8:00PM
